,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,lats,lngs,Category,Count,Rating
88,Bushwick,40.69811611,-73.92525797,53d8078c498ec85537d3df4a,Alphaville,40.70065557,-73.92571112,Bar,28,8.6
102,Brooklyn Heights,40.69586372,-73.99378225,49c16439f964a520a4551fe3,O'Keefe's Bar & Grill,40.69206199,-73.99118453,Bar,45,6.2
107,Cobble Hill,40.68791972,-73.99856139,51ddd36f498ea2ad70eb9129,Vekslers,40.68534458,-74.00068713,Bar,35,8.1
108,Cobble Hill,40.68791972,-73.99856139,51ddd36f498ea2ad70eb9129,Vekslers,40.68534458,-74.00068713,Bar,35,8.1
114,Carroll Gardens,40.68213189,-74.00037274,4e09bb7dfa767637fd396326,Bar Bruno,40.6835175,-73.99983049,Bar,83,8.2
115,Carroll Gardens,40.68213189,-74.00037274,4f615c02e4b015728758e99e,Jalopy Tavern,40.68135444,-74.00461729,Bar,30,8.4
127,Gowanus,40.67393114,-73.99444087,52a93a2711d23c836a9cd926,The Roof,40.67479557,-73.98913632,Bar,33,7.2
137,Fort Greene,40.68852726,-73.97290574,5afcb616356b49002c4c1811,Fulton Hall,40.687848,-73.97854208,Bar,5,7
138,Fort Greene,40.68852726,-73.97290574,5afcb616356b49002c4c1811,Fulton Hall,40.687848,-73.97854208,Bar,5,7
139,Fort Greene,40.68852726,-73.97290574,4ca6342076d3a093b22fff6a,Mo's Fort Greene,40.68708679,-73.97468663,Bar,60,7.5
183,Downtown,40.69084402,-73.98346337,55f8a162498e17705afff914,Kimoto Rooftop,40.6915468,-73.98447184,Bar,20,6.1
184,Downtown,40.69084402,-73.98346337,55f8a162498e17705afff914,Kimoto Rooftop,40.6915468,-73.98447184,Bar,20,6.1
185,Downtown,40.69084402,-73.98346337,505f4949e4b081c354dbd562,Dining Room,40.692119,-73.986621,Bar,13,5.6
190,Boerum Hill,40.68724138,-73.98357725,50417842e4b00690ba49d83a,Hollow Nickel,40.68577927,-73.98187953,Bar,47,7.7
192,Boerum Hill,40.68724138,-73.98357725,52111ce111d2e6fde814bcf2,St. Gambrinus Beer Shoppe,40.68502865,-73.97987253,Bar,49,9
201,East Williamsburg,40.70849241,-73.93885815,506cbae0e4b09691a78181ab,Sweet Science,40.70648559,-73.9430374,Bar,82,7.8
202,East Williamsburg,40.70849241,-73.93885815,4f50044ae4b03fbe28b12990,Tradesman,40.7081919,-73.93995957,Bar,48,8.4
215,North Side,40.71482291,-73.95880858,570c6629498e7ab0b8796332,MIDNIGHTS,40.71740674,-73.95839832,Bar,15,8.4
112,Cobble Hill,40.68791972,-73.99856139,4aecd620f964a520a7cb21e3,Jake's Bar B Que,40.68559685,-74.00240936,BBQ Joint,7,5.2
113,Cobble Hill,40.68791972,-73.99856139,4aecd620f964a520a7cb21e3,Jake's Bar B Que,40.68559685,-74.00240936,BBQ Joint,7,5.2
180,Downtown,40.69084402,-73.98346337,4a2b1f53f964a520a5961fe3,Dallas BBQ,40.69014069,-73.98686566,BBQ Joint,72,6.3
181,Downtown,40.69084402,-73.98346337,4a2b1f53f964a520a5961fe3,Dallas BBQ,40.69014069,-73.98686566,BBQ Joint,72,6.3
29,Soundview,40.8210122,-73.8657461,4b674194f964a5202f442be3,Jimbo's,40.8233616,-73.86814504,Breakfast Spot,13,7.5
79,Prospect Heights,40.67682226,-73.96485924,4a298f27f964a520a7951fe3,Cafe Shane on Washington,40.67416731,-73.96311114,Breakfast Spot,41,6.2
197,Georgetown,40.62384524,-73.91607484,4bb8ca6298c7ef3b0f683102,Vikki's Restaurant,40.61957159,-73.91750662,Breakfast Spot,7,5.6
221,North Side,40.71482291,-73.95880858,44ce1e0df964a52017361fe3,Egg,40.71665027,-73.96172307,Breakfast Spot,380,8.6
224,North Side,40.71482291,-73.95880858,5533caee498e93216b39b818,Abracadabra Brooklyn,40.71203007,-73.96290598,Breakfast Spot,28,8.4
1,Eastchester,40.88755568,-73.82780645,4c406f2e6c1a9521a042b96a,McDonald's,40.88563631,-73.82683956,Burger Joint,10,6
2,Kingsbridge,40.88168737,-73.90281799,55568a71498e3524400a356e,Smashburger,40.88422085,-73.90033255,Burger Joint,8,8.4
16,Fordham,40.8609968,-73.89642656,56819cbf498e3605c5fbab32,Checkers,40.862609,-73.901955,Burger Joint,2,7.3
24,East Tremont,40.84269616,-73.88735618,559585a6498e27a432a3d616,Checkers,40.8453844,-73.89061376,Burger Joint,0,6.2
25,High  Bridge,40.83662301,-73.92610209,515316ebe4b04c8e5fb65eb8,Checkers,40.83605933,-73.9228794,Burger Joint,0,6.1
27,Mott Haven,40.80623875,-73.91609987,57f4356d498e9b6bbc8a44f8,Milk Burger,40.803607,-73.919885,Burger Joint,0,7.6
28,Morrisania,40.82359199,-73.90150649,4bd7661835aad13ac3cf8ef3,White Castle,40.82196577,-73.89745368,Burger Joint,6,6.2
33,Westchester Square,40.8406195,-73.84219408,4b914c8ff964a5200eb133e3,Wendy's,40.8428998,-73.84535953,Burger Joint,4,7.8
34,Westchester Square,40.8406195,-73.84219408,4b64a9fff964a520b1c62ae3,White Castle,40.84028716,-73.84129308,Burger Joint,6,6.8
38,Morris Park,40.84754906,-73.85040178,522b97a411d299ee4a3a10ca,Burger Time,40.84928804,-73.85358477,Burger Joint,9,8
39,Morris Park,40.84754906,-73.85040178,50180a6be4b0d405ec6454ea,The Stand,40.84886769,-73.85450261,Burger Joint,19,6.6
40,Belmont,40.8572771,-73.88845196,4c3d6ba2933b0f47326ae521,White Castle,40.85900319,-73.88649446,Burger Joint,16,7.8
42,North Riverdale,40.90854283,-73.90453055,4a9ae4fdf964a520723320e3,Riverdale Steakhouse,40.90669106,-73.90404852,Burger Joint,11,7.4
47,Bay Ridge,40.62580107,-74.03062069,52e414ea498efa7a2abe118c,Wendy's,40.62230603,-74.02795896,Burger Joint,1,6.2
49,Greenpoint,40.73020098,-73.95424093,561eef16498e73af804a6752,Barley,40.73391857,-73.95494308,Burger Joint,16,7.6
61,Brighton Beach,40.57682507,-73.96509449,56282e90498e9159a2f3c807,Wendy's,40.5778831,-73.9608375,Burger Joint,1,6.5
63,Sheepshead Bay,40.58689013,-73.9431864,4bb9004d1261d13ae934e998,Dessert Palace,40.58383257,-73.94425973,Burger Joint,9,7.2
66,Crown Heights,40.67082918,-73.94329119,54cfdb36498e33e73a5d67b5,Boeuf & Bun,40.67046513,-73.94211272,Burger Joint,15,6.7
67,Crown Heights,40.67082918,-73.94329119,49f8fd61f964a520476d1fe3,Mendy's Crown Heights,40.66895206,-73.94219624,Burger Joint,6,6.5
72,Prospect Heights,40.67682226,-73.96485924,4a6c86e5f964a520b8d01fe3,Tom's Restaurant,40.67453698,-73.96321632,Burger Joint,283,8.4
81,Brownsville,40.66394994,-73.91023536,5902b03f8c812a4130407b8d,Checkers,40.66321631,-73.90933962,Burger Joint,0,6.2
82,Williamsburg,40.70714439,-73.95811529,4ffe3889e4b01d5de4d4a81a,Blue Collar,40.71135772,-73.95771848,Burger Joint,106,8.1
83,Williamsburg,40.70714439,-73.95811529,4ffe3889e4b01d5de4d4a81a,Blue Collar,40.71135772,-73.95771848,Burger Joint,106,8.1
86,Williamsburg,40.70714439,-73.95811529,4c9bd1140313370443af4fd5,Checkers,40.70883845,-73.95864531,Burger Joint,16,5.8
93,Brooklyn Heights,40.69586372,-73.99378225,464c2546f964a520b4461fe3,Five Guys,40.69464578,-73.99381927,Burger Joint,30,7.6
103,Cobble Hill,40.68791972,-73.99856139,4e98cba6b8f77b7a98e870d6,Moo Burger,40.68584458,-73.99422868,Burger Joint,107,8.2
123,Red Hook,40.67625323,-74.01275897,5044db54e4b0152f59242b55,The Grill At Fairway Market,40.67415171,-74.01768939,Burger Joint,1,6.3
133,Fort Greene,40.68852726,-73.97290574,45548f85f964a5200f3d1fe3,Mullane's,40.68716204,-73.97570117,Burger Joint,108,6.4
142,Park Slope,40.67232052,-73.9770503,4e24820a88774a43b788390d,Bareburger,40.6718999,-73.97762026,Burger Joint,90,8.6
143,Park Slope,40.67232052,-73.9770503,540ce9d0498e8ef1a0ad6a85,Burger Village,40.67034767,-73.9787536,Burger Joint,22,7.8
144,Park Slope,40.67232052,-73.9770503,5579bd50498e191d31ad8270,Brooklyn Burgers & Beer,40.67450404,-73.98181864,Burger Joint,30,8.2
146,Park Slope,40.67232052,-73.9770503,49c86272f964a52019581fe3,Bonnie's Grill,40.67431661,-73.98218183,Burger Joint,100,7.8
147,Park Slope,40.67232052,-73.9770503,59ce97225315937fce26cef1,Bar Basic,40.67524142,-73.97494976,Burger Joint,15,7
150,Flatlands,40.63044604,-73.92911303,5756a622498e08c7751959dd,Wendy's,40.6336,-73.92812,Burger Joint,2,6.4
152,Bath Beach,40.5995187,-73.99875221,552c2d5a498e6e675f548cc8,Five Guys,40.59528911,-73.9999767,Burger Joint,7,8.3
155,Bath Beach,40.5995187,-73.99875221,4ba7bfbbf964a520d8af39e3,Wendy's,40.59547534,-74.00020212,Burger Joint,26,6.3
156,Dyker Heights,40.61921946,-74.01931376,5792ab2e498e1f75f8d0ac24,BurgerFi,40.61880988,-74.02133452,Burger Joint,8,7.4
161,Clinton Hill,40.69322942,-73.96784306,4fe4a0b0e4b02bd5c5dd3e2e,Mark's Gourmet Burgers,40.6932596,-73.96787612,Burger Joint,7,6.6
163,Clinton Hill,40.69322942,-73.96784306,5025b0a3e4b0e4d95f9f9017,Burger UrWay,40.69318617,-73.97207987,Burger Joint,8,6.3
167,Downtown,40.69084402,-73.98346337,4eeb4c51775b1d4812e0261c,Shake Shack,40.69212698,-73.98865815,Burger Joint,240,8.9
168,Downtown,40.69084402,-73.98346337,4ded556745dd3aa41d634703,Smashburger,40.68978407,-73.97961795,Burger Joint,73,7.6
169,Downtown,40.69084402,-73.98346337,4ded556745dd3aa41d634703,Smashburger,40.68978407,-73.97961795,Burger Joint,73,7.6
170,Downtown,40.69084402,-73.98346337,4dcc0c3052b17cba4fb62352,Five Guys,40.69367613,-73.98608686,Burger Joint,37,7.9
171,Downtown,40.69084402,-73.98346337,59681d5b8b98fd6fb9b4dbb6,Hard Times Sundaes,40.691261,-73.98259,Burger Joint,3,7.7
172,Downtown,40.69084402,-73.98346337,59681d5b8b98fd6fb9b4dbb6,Hard Times Sundaes,40.691261,-73.98259,Burger Joint,3,7.7
177,Downtown,40.69084402,-73.98346337,595e8c08e2da196c103e7a9e,Andrew's Classic Roadside Hamburgers,40.69106042,-73.98290772,Burger Joint,4,6.3
178,Downtown,40.69084402,-73.98346337,595e8c08e2da196c103e7a9e,Andrew's Classic Roadside Hamburgers,40.69106042,-73.98290772,Burger Joint,4,6.3
189,Boerum Hill,40.68724138,-73.98357725,5a7200d997461724ba963ae5,Next Level Burger,40.68620708,-73.97875159,Burger Joint,9,7.5
194,City Line,40.67856996,-73.86797598,52e9007011d2656b10d84297,Checkers,40.67859376,-73.86683598,Burger Joint,2,6.3
195,Prospect Park South,40.6470086,-73.96261317,52dea0a0498e9813e3da908e,Checkers,40.6496179,-73.9629977,Burger Joint,2,6.6
196,Georgetown,40.62384524,-73.91607484,59e7a81264c8e16a71f8febd,Five Guys,40.626714,-73.9170613,Burger Joint,0,7.4
198,Spring Creek,40.65713928,-73.86998779,5511d363498e21440e7e95d5,Smashburger,40.6536348,-73.87155129,Burger Joint,13,8.2
203,North Side,40.71482291,-73.95880858,588cf4548b0ebb5d015a5964,Juanchi's Burger,40.71294744,-73.9589077,Burger Joint,18,8
205,North Side,40.71482291,-73.95880858,439308daf964a520712b1fe3,DuMont Burger,40.71361911,-73.96191391,Burger Joint,228,8.1
207,North Side,40.71482291,-73.95880858,5b05c761e7a2370039b6f1ff,Shake Shack,40.71737257,-73.96049213,Burger Joint,2,8.6
209,North Side,40.71482291,-73.95880858,55f86e40498ed2f3a2e9fb1a,Quinoa Kitchen,40.71408754,-73.96159172,Burger Joint,9,7.2
23,East Tremont,40.84269616,-73.88735618,4d39a9bacc48224b57ae354f,North Star Cafe,40.84333559,-73.88698195,Cafթ,21,8.4
118,Carroll Gardens,40.68213189,-74.00037274,5adba8f4c0cacb3e62f55a45,Madcap Cafe,40.6801546,-73.99696175,Cafթ,19,6.5
151,Manhattan Beach,40.5779135,-73.94353723,5720f2ed498e7499aafa92ac,Chillax Manhattan Beach Cafe,40.578697,-73.938004,Cafթ,4,6.9
193,Prospect Lefferts Gardens,40.65842002,-73.95489867,58028f8cd67c0471adf82c7e,Salem's Hour,40.66064409,-73.95064813,Cafթ,12,6.9
225,North Side,40.71482291,-73.95880858,4197f180f964a520151e1fe3,Fabiane's,40.71673083,-73.9589392,Cafթ,103,7.6
105,Cobble Hill,40.68791972,-73.99856139,52487385498e8d3af50faac2,The Long Island Bar,40.6906428,-73.9963185,Cocktail Bar,93,8.6
129,Fort Greene,40.68852726,-73.97290574,4c848884d8086dcbd4608a52,Brooklyn Public House,40.68953711,-73.9693982,Cocktail Bar,133,8.6
