,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,lats,lngs,Category,Count,Rating
100,Brooklyn Heights,40.69586372,-73.99378225,4e851ede8231a2bbfef10e1f,Bevacco,40.69934694,-73.99213689,Italian Restaurant,51,6.7
126,Gowanus,40.67393114,-73.99444087,49d10b5af964a520545b1fe3,Bar Tano,40.67136259,-73.99103934,Italian Restaurant,49,8
153,Bath Beach,40.5995187,-73.99875221,521a7e8a498e9a3defc15591,Casa Edesia Pizza and Grill,40.60002969,-74.00259173,Italian Restaurant,5,7.3
182,Downtown,40.69084402,-73.98346337,4a522e5df964a52055b11fe3,Luciano's,40.69398566,-73.98542137,Italian Restaurant,19,7.5
162,Clinton Hill,40.69322942,-73.96784306,4eda54ed5c5c96a2fe2886c8,Energy Fuel,40.69317625,-73.97039495,Juice Bar,14,7.6
117,Carroll Gardens,40.68213189,-74.00037274,43cd1428f964a520cf2d1fe3,Abilene,40.67885738,-73.99761574,Lounge,95,7.9
46,Bay Ridge,40.62580107,-74.03062069,4a9f1f91f964a5209b3c20e3,Cebu' Bar & Bistro,40.62181234,-74.03172699,New American Restaurant,61,7.7
41,Belmont,40.8572771,-73.88845196,4a73de62f964a5208fdd1fe3,Howl At The Moon,40.85757293,-73.88644395,Piano Bar,13,6.4
9,Norwood,40.87722416,-73.87939074,4bb626e0f562ef3b2fb32f97,Sal's Pizzeria,40.87526935,-73.87956261,Pizza Place,11,7.9
37,Van Nest,40.84360847,-73.86629918,4bafc2f1f964a520a31e3ce3,Anthony's Pizza,40.84526933,-73.86609973,Pizza Place,5,7.2
90,Bushwick,40.69811611,-73.92525797,4db9e32e0cb65435c5202dd4,OMG Pizza,40.6981512,-73.92545195,Pizza Place,18,6.3
211,North Side,40.71482291,-73.95880858,570139a9498e16178005c729,Emmy Squared,40.712166,-73.955705,Pizza Place,164,9.3
6,Kingsbridge,40.88168737,-73.90281799,59b17fe23b4e0043787e1a7c,The Bronx Public,40.87837659,-73.90348117,Pub,6,8.7
8,Woodlawn,40.89827261,-73.86731497,46212cb5f964a5208d451fe3,Rambling House,40.89843924,-73.86719658,Pub,35,8.3
35,Westchester Square,40.8406195,-73.84219408,4d5f3bc6196ba093879f0b56,McDermott's Pub,40.84274284,-73.84602839,Pub,12,7.7
44,Edgewater Park,40.82198612,-73.81388514,4b5a3c87f964a5207fb628e3,The Wicked Wolf,40.81968771,-73.81735925,Pub,19,7.6
99,Brooklyn Heights,40.69586372,-73.99378225,40788a80f964a5206ef21ee3,Henry Street Ale House,40.699251,-73.992284,Pub,59,7.3
149,Park Slope,40.67232052,-73.9770503,3fd66200f964a520fce81ee3,Park Slope Ale House,40.67053111,-73.98193671,Pub,47,7.2
159,Clinton Hill,40.69322942,-73.96784306,510193528302126a99141178,Putnam's Pub & Cooker,40.6932092,-73.96900829,Pub,103,8.4
219,North Side,40.71482291,-73.95880858,4262f880f964a52025211fe3,Teddy's Bar & Grill,40.7192048,-73.95843053,Pub,117,7.3
0,Co-op City,40.87429419,-73.82993911,4be2b79d660ec9284d04ca3b,Townhouse Restaurant,40.87608589,-73.82886815,Restaurant,5,5.8
68,Kensington,40.64238196,-73.98042111,528c27fd11d279a61b01496c,Brooklyn Comfort,40.64359091,-73.97758609,Restaurant,9,6.2
160,Clinton Hill,40.69322942,-73.96784306,54d4d008498e254c1e68dee4,Bar Bolinas,40.69334103,-73.96724479,Restaurant,41,8.7
166,Clinton Hill,40.69322942,-73.96784306,55dfb656498e758dc3f5e3c4,Gentleman Farmer Fort Greene,40.69322908,-73.97102275,Restaurant,13,7.7
218,North Side,40.71482291,-73.95880858,5aea243ec0af57002c200d68,Clinton Hall,40.71505295,-73.95921531,Restaurant,6,7
62,Sheepshead Bay,40.58689013,-73.9431864,4606214ef964a520c6441fe3,Roll N Roaster,40.58414346,-73.9395554,Sandwich Place,142,9
89,Bushwick,40.69811611,-73.92525797,534d916e498e45d9c44e6d0a,The Wheelhouse,40.69999698,-73.9244007,Sandwich Place,29,8.6
175,Downtown,40.69084402,-73.98346337,4b5e4c9df964a520648829e3,Mile End Delicatessen,40.687549,-73.987018,Sandwich Place,310,8.9
176,Downtown,40.69084402,-73.98346337,4b5e4c9df964a520648829e3,Mile End Delicatessen,40.687549,-73.987018,Sandwich Place,310,8.9
4,Kingsbridge,40.88168737,-73.90281799,4b9c9c6af964a520b27236e3,Land & Sea Restaurant,40.87788463,-73.90587282,Seafood Restaurant,19,7.7
5,Kingsbridge,40.88168737,-73.90281799,4b9c9c6af964a520b27236e3,Land & Sea Restaurant,40.87788463,-73.90587282,Seafood Restaurant,19,7.7
220,North Side,40.71482291,-73.95880858,4581734ff964a520653f1fe3,Surf Bar,40.71763629,-73.9587139,Seafood Restaurant,156,7.7
71,Windsor Terrace,40.65694584,-73.9800734,4a1099f5f964a520e5761fe3,Rhythm & Booze,40.65759122,-73.97957961,Sports Bar,29,6.5
60,Greenpoint,40.73020098,-73.95424093,54a888e6498ef4dcbc458f1f,Hook & Cleaver,40.72979132,-73.95827998,Steakhouse,4,5.7
85,Williamsburg,40.70714439,-73.95811529,3fd66200f964a5209beb1ee3,Peter Luger Steak House,40.70995791,-73.96229111,Steakhouse,671,8.8
74,Prospect Heights,40.67682226,-73.96485924,4bf721834a67c928eb2123cf,Branded Saloon,40.67939406,-73.96816545,Whisky Bar,69,7.3
