,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category
42,Melrose,40.81975437059498,-73.90942160757443,4fa534cee4b0fed4819dc7d4,Perry Coffee Shop.,40.82343311944822,-73.91093964319761,Diner
43,Mott Haven,40.80623874935181,-73.91609987487583,57f4356d498e9b6bbc8a44f8,Milk Burger,40.803607,-73.919885,Burger Joint
44,Mott Haven,40.80623874935181,-73.91609987487583,4e2de441aeb7e1b8af96041c,Crown Fried Chicken,40.807946994398186,-73.91952040459515,Fried Chicken Joint
45,Morrisania,40.82359198585537,-73.90150648943066,4bd7661835aad13ac3cf8ef3,White Castle,40.82196576899963,-73.89745368185665,Burger Joint
46,Morrisania,40.82359198585537,-73.90150648943066,4f320ce719833175d60b9005,Crown Fried Chicken,40.821001,-73.896896,Burger Joint
47,Soundview,40.82101219791406,-73.86574609554933,4b674194f964a5202f442be3,Jimbo's,40.82336160292545,-73.86814504394364,Breakfast Spot
48,Throgs Neck,40.815109258040096,-73.8163500215845,4bf471c198ac0f47190664a8,Muscle Maker Grill,40.81939123374593,-73.81729767562672,American Restaurant
49,Parkchester,40.83793782226733,-73.8560031053579,4cb8d3154352a1cd5a9988f5,Burger King,40.8375732,-73.8600513,Fast Food Restaurant
50,Westchester Square,40.84061949643274,-73.8421940760445,4b914c8ff964a5200eb133e3,Wendy's,40.842899804531605,-73.84535953402519,Burger Joint
51,Westchester Square,40.84061949643274,-73.8421940760445,4b64a9fff964a520b1c62ae3,White Castle,40.840287158930614,-73.84129308432539,Burger Joint
52,Westchester Square,40.84061949643274,-73.8421940760445,4d5f3bc6196ba093879f0b56,McDermott's Pub,40.84274284003696,-73.8460283886102,Pub
53,Westchester Square,40.84061949643274,-73.8421940760445,4b6a0d33f964a5205dc42be3,Tremont Diner,40.840050580869566,-73.83729837723685,Diner
54,Van Nest,40.84360847124722,-73.86629918075617,4bafc2f1f964a520a31e3ce3,Anthony's Pizza,40.84526932730098,-73.86609972700784,Pizza Place
55,Van Nest,40.84360847124722,-73.86629918075617,51e4393b498eb4224553eb07,Burger One,40.839771,-73.868449,Burger Joint
56,Morris Park,40.847549063536384,-73.85040178030428,522b97a411d299ee4a3a10ca,Burger Time,40.84928804010554,-73.85358476993304,Burger Joint
57,Morris Park,40.847549063536384,-73.85040178030428,50180a6be4b0d405ec6454ea,The Stand,40.84886768657605,-73.85450261380268,Burger Joint
58,Belmont,40.857277100738976,-73.88845196134812,4c3d6ba2933b0f47326ae521,White Castle,40.85900319252771,-73.88649446049982,Burger Joint
59,Belmont,40.857277100738976,-73.88845196134812,4a73de62f964a5208fdd1fe3,Howl At The Moon,40.857572927824215,-73.88644395048595,Piano Bar
60,Belmont,40.857277100738976,-73.88845196134812,56feafc1498ef95280ab5a0d,Burger Lodge,40.856674,-73.884137,Burger Joint
61,Belmont,40.857277100738976,-73.88845196134812,4adba246f964a520962921e3,Applebee's Grill + Bar,40.86014004,-73.89111321,American Restaurant
62,North Riverdale,40.9085428295067,-73.90453054908934,4a9ae4fdf964a520723320e3,Riverdale Steakhouse,40.90669106081043,-73.90404852446946,Burger Joint
63,Pelham Bay,40.850641409403394,-73.83207378240479,4e4e2865bd4101d0d7a3943c,Beyond Burgers,40.854185448944435,-73.82879680791478,Burger Joint
64,Schuylerville,40.82657951686926,-73.82620275994081,4f2e27bee4b010c5f6982ad7,Brewski's Bar & Grill,40.82664104244332,-73.82248599450232,Bar
65,Schuylerville,40.82657951686926,-73.82620275994081,462d1873f964a520e8451fe3,Fiddlers Elbow,40.82660255349218,-73.82248544920363,Bar
66,Edgewater Park,40.82198611816354,-73.81388514428627,4bf471c198ac0f47190664a8,Muscle Maker Grill,40.81939123374593,-73.81729767562672,American Restaurant
67,Edgewater Park,40.82198611816354,-73.81388514428627,4b5a3c87f964a5207fb628e3,The Wicked Wolf,40.81968770624791,-73.81735925205253,Pub
68,Olinville,40.87137078192375,-73.86332361652785,4e319f061495f249f76dad9f,China Man Burger Stand,40.87289864841601,-73.86496723952759,Burger Joint
69,Bay Ridge,40.625801065010684,-74.0306206935382,4a9880f5f964a520692c20e3,The Kettle Black,40.62283909856897,-74.03141082168587,Bar
70,Bay Ridge,40.625801065010684,-74.0306206935382,4a9f1f91f964a5209b3c20e3,Cebu' Bar & Bistro,40.62181234249646,-74.03172698590136,New American Restaurant
71,Bay Ridge,40.625801065010684,-74.0306206935382,52e414ea498efa7a2abe118c,Wendy's,40.62230603400667,-74.02795895934105,Burger Joint
72,Bay Ridge,40.625801065010684,-74.0306206935382,4a9892a0f964a520be2c20e3,Cappuccino Cafe,40.62951041286022,-74.02853892492205,American Restaurant
73,Bay Ridge,40.625801065010684,-74.0306206935382,5446e39f498ee9a7ef4db6e7,burger up,40.6227842477891,-74.03068069487965,Burger Joint
74,Bay Ridge,40.625801065010684,-74.0306206935382,5b42a9aefd9d73002be01dd1,Standard Burgers,40.621577,-74.031828,Burger Joint
75,Bay Ridge,40.625801065010684,-74.0306206935382,4d87bac6e60c2c0fbbdbad3a,Gallery Social Bar and Lounge,40.628084532041036,-74.02916818603931,Cocktail Bar
76,Greenpoint,40.73020098486474,-73.954240931274,561eef16498e73af804a6752,Barley,40.73391856876721,-73.95494308195431,Burger Joint
77,Greenpoint,40.73020098486474,-73.954240931274,5285412911d2a3e51484ff56,The Brew Inn,40.731031,-73.954191,Gastropub
78,Greenpoint,40.73020098486474,-73.954240931274,4a5a78f1f964a52064ba1fe3,Anella,40.73327191911455,-73.95801948957296,American Restaurant
79,Greenpoint,40.73020098486474,-73.954240931274,46869096f964a52048481fe3,Black Rabbit,40.73005701987417,-73.95658766171472,Bar
80,Greenpoint,40.73020098486474,-73.954240931274,57dc9cf9498e9b5df967d6c2,21 Greenpoint,40.72973145449354,-73.95989263835487,Bar
81,Greenpoint,40.73020098486474,-73.954240931274,5ae25347fd16bb002cf0c3f2,Elder Greene,40.73062110833443,-73.95769664253251,Bar
82,Greenpoint,40.73020098486474,-73.954240931274,5ad7c4224febd54bc97c5c47,Pelicana Chicken,40.731452410096246,-73.95450966745076,Fried Chicken Joint
83,Greenpoint,40.73020098486474,-73.954240931274,54283abd498e920cadc9692d,Slick Willie,40.728260093610864,-73.94946276978422,American Restaurant
84,Greenpoint,40.73020098486474,-73.954240931274,4bcf1883c564ef3ba33beff0,Le Gamin,40.72828009841782,-73.95733511406732,French Restaurant
85,Greenpoint,40.73020098486474,-73.954240931274,4a685faff964a52062ca1fe3,McDonald's,40.730389,-73.954109,Fast Food Restaurant
86,Greenpoint,40.73020098486474,-73.954240931274,4d1f7a7a8629224bb46a0b87,Garden Spot Cafe,40.73342100616383,-73.95820729218747,American Restaurant
87,Greenpoint,40.73020098486474,-73.954240931274,54a888e6498ef4dcbc458f1f,Hook & Cleaver,40.72979131513016,-73.95827997516524,Steakhouse
88,Brighton Beach,40.57682506566609,-73.96509448785343,56282e90498e9159a2f3c807,Wendy's,40.57788310107806,-73.96083749519804,Burger Joint
89,Brighton Beach,40.57682506566609,-73.96509448785343,4e4cff86bd413c4cc66dde8e,Palace Fried Chicken,40.577754662034444,-73.96157553259849,Fried Chicken Joint
90,Sheepshead Bay,40.58689012678388,-73.94318640482987,4606214ef964a520c6441fe3,Roll N Roaster,40.584143455001524,-73.93955540497697,Sandwich Place
