epoch,time_completed,mse,mae,r_2
1,2019-05-10 03:14:56,40.17160272601259,6.270243756045465,-45.374534181168436
2,2019-05-10 03:14:56,32.743804682813604,5.647813759057418,-36.79980350401534
3,2019-05-10 03:14:56,26.72220488128161,5.087539849488631,-29.84840333892711
4,2019-05-10 03:14:56,21.80381215284794,4.582286024508268,-24.170557392455525
5,2019-05-10 03:14:56,17.836452523232804,4.129921959172124,-19.590594377102935
6,2019-05-10 03:14:56,14.632623763145906,3.7224048784504764,-15.892059684359598
7,2019-05-10 03:14:56,12.006204249045156,3.3542860097470486,-12.86009249197562
8,2019-05-10 03:14:56,9.927460565889882,3.0306508876966394,-10.460368222922515
9,2019-05-10 03:14:56,8.20742829537034,2.733630126870197,-8.474744301816921
10,2019-05-10 03:14:56,6.815604259589907,2.4687514226332956,-6.868007529034985
