,count,venue,venue category,venue lat,venue lon
89,2,Palace Fried Chicken,Fried Chicken Joint,40.57775466203445,-73.96157553259849
90,142,Roll N Roaster,Sandwich Place,40.584143455001524,-73.93955540497697
91,9,Dessert Palace,Burger Joint,40.583832572084106,-73.9442597274344
92,23,Applebee's Grill + Bar,American Restaurant,40.58388785,-73.94323487
93,13,Kouros Bay Diner,Diner,40.589760712285965,-73.93971282705247
94,1,Burger Shop,Burger Joint,40.61683306987118,-73.95919261437253
95,0,BK Burger,Burger Joint,40.618215,-73.95835600000001
96,15,Boeuf & Bun,Burger Joint,40.670465131620105,-73.94211271516724
97,6,Mendy's Crown Heights,Burger Joint,40.66895205842575,-73.94219623980871
98,2,VIP Grill,Burger Joint,40.64145189422817,-73.98543918649351
99,9,Brooklyn Comfort,Restaurant,40.64359091385288,-73.97758608570983
100,164,The Double Windsor,Bar,40.66052504480458,-73.98028176631405
101,46,Krupa Grocery,American Restaurant,40.659957167936675,-73.98069569997391
102,29,Rhythm & Booze,Sports Bar,40.65759121594892,-73.97957961130055
103,2,212 Burgers,Burger Joint,40.660497,-73.980584
104,283,Tom's Restaurant,Burger Joint,40.67453698094472,-73.96321631850594
105,79,Sunshine Co.,American Restaurant,40.674672496487844,-73.96332178669509
106,69,Branded Saloon,Whisky Bar,40.679394059795115,-73.96816545095966
107,115,Soda Bar,Bar,40.67831607945023,-73.96859389991735
108,23,MeMe’s Diner,American Restaurant,40.67767949351533,-73.96374983057217
109,141,The Vanderbilt,American Restaurant,40.6795177766136,-73.96836850595238
110,1,Stocked Burger,Burger Joint,40.677219,-73.96357900000001
111,44,Penny House Cafe,Coffee Shop,40.67610945178208,-73.9634229196912
112,41,Cafe Shane on Washington,Breakfast Spot,40.67416730721465,-73.96311113619906
113,36,Neptune Diner II,Diner,40.676573883755935,-73.95926265892562
114,0,Checkers,Burger Joint,40.663216311030425,-73.90933962198693
115,5,Crown Chicken,Burger Joint,40.66507671181381,-73.91209136818333
116,106,Blue Collar,Burger Joint,40.711357717978856,-73.95771847756468
117,93,Trophy Bar,Bar,40.70776758662049,-73.95578164000341
118,671,Peter Luger Steak House,Steakhouse,40.70995790682886,-73.96229110893742
119,16,Checkers,Burger Joint,40.70883844615671,-73.95864531397821
120,1,AFC Grilled Chicken,Burger Joint,40.70864260196686,-73.95842671394348
121,31,Zamaan Hookah Bar and Lounge,Hookah Bar,40.707847422779714,-73.95581189700223
122,28,Alphaville,Bar,40.700655570348815,-73.92571111977057
123,29,The Wheelhouse,Sandwich Place,40.699996984427685,-73.92440070116781
124,18,OMG Pizza,Pizza Place,40.69815120337451,-73.92545194772752
125,1,Royal Chicken,Fast Food Restaurant,40.696119,-73.92040037999998
126,7,Terry's Cafe & Grill,Diner,40.69572657117028,-73.92974543425366
127,241,Peaches HotHouse,Fried Chicken Joint,40.68333096983621,-73.94385322214498
128,2,Crown Fried Chicken,Fried Chicken Joint,40.688130155740794,-73.94478278685824
129,30,Five Guys,Burger Joint,40.69464577757514,-73.99381926824576
130,17,B.GOOD,Fast Food Restaurant,40.694696696070686,-73.99380026153257
131,90,Clark's Restaurant,Diner,40.69753293863099,-73.9930435186682
132,88,Jack the Horse Tavern,American Restaurant,40.699939665968046,-73.99363890600424
133,51,Heights Cafe,American Restaurant,40.695200824137935,-73.99589275866926
134,51,Park Plaza Diner,Diner,40.69779079038551,-73.99168194893329
135,59,Henry Street Ale House,Pub,40.699251000000004,-73.992284
136,3,NYC Sliders,Burger Joint,40.69760810861431,-73.99448633193971
137,0,Grand Canyon Restaurant,Burger Joint,40.694745000000005,-73.993589
138,51,Bevacco,Italian Restaurant,40.69934693656375,-73.99213688652104
139,49,Teresa's Restaurant,Eastern European Restaurant,40.69523887631173,-73.9960558355363
140,45,O'Keefe's Bar & Grill,Bar,40.692061991244,-73.99118453406872
141,107,Moo Burger,Burger Joint,40.68584457538074,-73.99422868325722
142,186,Henry Public,Gastropub,40.690412864655855,-73.99641156481655
143,93,The Long Island Bar,Cocktail Bar,40.69064279618185,-73.99631850047321
144,233,Colonie,American Restaurant,40.69073324250775,-73.99596314123242
145,35,Vekslers,Bar,40.68534457902491,-74.00068713289978
146,70,Watty & Meg,American Restaurant,40.68556214714406,-73.99442741145907
147,6,Mex Carroll's Diner,Diner,40.685510319269106,-74.00250985465031
148,7,Jake's Bar B Que,BBQ Joint,40.685596849979476,-74.00240936363565
149,83,Bar Bruno,Bar,40.68351749855508,-73.9998304896896
150,35,Vekslers,Bar,40.68534457902491,-74.00068713289978
151,30,Jalopy Tavern,Bar,40.68135444334983,-74.00461728614081
152,30,East One Coffee Roasters,Coffee Shop,40.681128035266816,-73.99652634325895
153,95,Abilene,Lounge,40.67885737510264,-73.99761573857809
154,6,Mex Carroll's Diner,Diner,40.685510319269106,-74.00250985465031
155,19,Madcap Cafe,Café,40.68015460233981,-73.99696175291047
156,37,Cobble Hill Coffee Shop,Diner,40.683433578031774,-73.99542632829885
157,7,Jake's Bar B Que,BBQ Joint,40.685596849979476,-74.00240936363565
158,196,Fort Defiance,American Restaurant,40.676790242032546,-74.01354759045259
159,15,Grindhaus,American Restaurant,40.67923456519463,-74.01067398414692
160,79,Brooklyn Ice House,Dive Bar,40.67907998485091,-74.01090321157281
161,1,The Grill At Fairway Market,Burger Joint,40.67415171277811,-74.01768938840196
162,360,Buttermilk Channel,American Restaurant,40.67592444896118,-73.99906984462297
163,6,Hard Times Sundaes,Food Truck,40.67365533620753,-73.99936167286349
164,49,Bar Tano,Italian Restaurant,40.67136258535797,-73.99103934276492
165,33,The Roof,Bar,40.674795565892275,-73.98913632404678
166,152,Court Street Grocers,Food & Drink Shop,40.67628734443692,-73.99880699967053
167,133,Brooklyn Public House,Cocktail Bar,40.68953711323655,-73.96939820491572
168,163,No. 7,American Restaurant,40.68591599881639,-73.97316783643741
169,50,Cafe Paulette,French Restaurant,40.68974307741666,-73.97579775071402
170,108,Mullane's,Burger Joint,40.68716203939329,-73.97570117471452
171,19,The Quarter,American Restaurant,40.687331379040536,-73.97485336935813
172,52,Maison May,French Restaurant,40.689465652244714,-73.96929148484402
173,5,Fulton Hall,Bar,40.687847997661606,-73.97854208388212
174,60,Mo's Fort Greene,Bar,40.687086786502725,-73.97468663141944
175,15,Mega Bites Diner,Diner,40.68953187628527,-73.96943652826938
176,90,Bareburger,Burger Joint,40.671899897003335,-73.97762026256561
177,22,Burger Village,Burger Joint,40.670347670059506,-73.97875359658781
178,30,Brooklyn Burgers & Beer,Burger Joint,40.67450404381487,-73.98181864255947
179,63,Kiwiana,American Restaurant,40.67455920733161,-73.97574156333353
180,100,Bonnie's Grill,Burger Joint,40.67431661397844,-73.98218183269694
181,15,Bar Basic,Burger Joint,40.675241418058384,-73.9749497566003
182,18,Grand Canyon Diner,Diner,40.67150617247381,-73.97775755063513
183,47,Park Slope Ale House,Pub,40.6705311055026,-73.98193670895691
184,0,El Fogon Chimi Truck,Burger Joint,40.68146266641199,-73.87309864103915
185,2,Wendy's,Burger Joint,40.6336,-73.92811999999999
186,4,Chillax Manhattan Beach Cafe,Café,40.578697,-73.938004
187,7,Five Guys,Burger Joint,40.59528911421907,-73.99997669541368
188,5,Casa Edesia Pizza and Grill,Italian Restaurant,40.600029694718316,-74.0025917316845
189,5,Burger King,Fast Food Restaurant,40.6021572477629,-73.99456393788559
190,26,Wendy's,Burger Joint,40.59547534081079,-74.00020211935043
191,8,BurgerFi,Burger Joint,40.61880988,-74.02133452
192,13,Nathan's Famous,Hot Dog Joint,40.618493525193294,-74.02185465130172
193,43,TGI Fridays,American Restaurant,40.58689753826717,-73.9289344923327
194,103,Putnam's Pub & Cooker,Pub,40.69320919801698,-73.96900829387259
195,133,Brooklyn Public House,Cocktail Bar,40.68953711323655,-73.96939820491572
196,41,Bar Bolinas,Restaurant,40.69334102737389,-73.9672447913059
197,7,Mark's Gourmet Burgers,Burger Joint,40.693259595834405,-73.9678761200858
198,14,Energy Fuel,Juice Bar,40.69317624981301,-73.97039494998354
199,8,Burger UrWay,Burger Joint,40.69318616991472,-73.97207987104555
200,52,Maison May,French Restaurant,40.689465652244714,-73.96929148484402
201,17,Johns Donuts and Coffee Shop,Diner,40.69349212192997,-73.96599395923141
202,83,Mike's Coffee Shop,Diner,40.6897851151352,-73.96538115407442
203,13,Gentleman Farmer Fort Greene,Restaurant,40.69322908174357,-73.97102274648931
204,15,Mega Bites Diner,Diner,40.68953187628527,-73.96943652826938
205,240,Shake Shack,Burger Joint,40.69212698255525,-73.98865815291195
206,73,Smashburger,Burger Joint,40.68978407181625,-73.97961795332886
207,37,Five Guys,Burger Joint,40.693676129803436,-73.98608685891288
