,Count,Venue ID
0,5,4be2b79d660ec9284d04ca3b
1,10,4c406f2e6c1a9521a042b96a
2,8,55568a71498e3524400a356e
3,52,4b3789f3f964a520f34125e3
4,19,4b9c9c6af964a520b27236e3
5,6,59b17fe23b4e0043787e1a7c
6,0,50213c8ee4b0d4185728e3b5
7,1,57f93740cd10b5d065ea961a
8,0,52b346c311d20f236abf04f6
9,46,4b5e451cf964a520f58629e3
10,35,46212cb5f964a5208d451fe3
11,11,4bb626e0f562ef3b2fb32f97
12,11,4c6d5ce5e6b7b1f7af76a98e
13,0,5a94ca8e2c7eb95db51baff4
14,0,4c7ffaf374d7b60c3a7569d8
15,0,4e4df308bd4101d0d79ee399
16,55,4ac18d7ff964a5207a9720e3
17,0,4bbcf2028ec3d13a0d751b28
18,7,4b87d10cf964a5206ecd31e3
19,5,4b6f7528f964a5205ff12ce3
20,4,4b171e79f964a5209cc223e3
21,23,4baedf9ff964a520c0de3be3
22,0,4d2b4bed467d6ea8c23cdf95
23,0,5a98b249f8cbd43d527c76ef
24,2,5908da4fdd12f87f2b6b7cca
25,0,56e1bf61498e0feda21902a6
26,0,5491cc59498e9b626a4d0834
27,2,56819cbf498e3605c5fbab32
28,6,4b954545f964a5203c9934e3
29,4,4be332072fc7d13a2281083a
30,0,58131ed938faa21211163ad1
31,13,4c8801830f3c236a2d4bef5c
32,6,4c0140ba94c1c9b667f8ba5f
33,2,4d4ec779db1b37046d37111f
34,33,4adba246f964a520962921e3
35,21,4d39a9bacc48224b57ae354f
36,0,559585a6498e27a432a3d616
37,0,54bb0209498e2e855cb95fd4
38,1,588bd2be32b072494c2ab249
39,0,515316ebe4b04c8e5fb65eb8
40,3,4d24e14a3574a14348ec48d1
41,7,4fa534cee4b0fed4819dc7d4
42,0,57f4356d498e9b6bbc8a44f8
43,2,4e2de441aeb7e1b8af96041c
44,6,4bd7661835aad13ac3cf8ef3
45,0,4f320ce719833175d60b9005
46,13,4b674194f964a5202f442be3
47,18,4bf471c198ac0f47190664a8
48,14,4cb8d3154352a1cd5a9988f5
49,4,4b914c8ff964a5200eb133e3
50,6,4b64a9fff964a520b1c62ae3
51,12,4d5f3bc6196ba093879f0b56
52,20,4b6a0d33f964a5205dc42be3
53,5,4bafc2f1f964a520a31e3ce3
54,2,51e4393b498eb4224553eb07
55,9,522b97a411d299ee4a3a10ca
56,19,50180a6be4b0d405ec6454ea
57,16,4c3d6ba2933b0f47326ae521
58,13,4a73de62f964a5208fdd1fe3
59,0,56feafc1498ef95280ab5a0d
60,11,4a9ae4fdf964a520723320e3
61,0,4e4e2865bd4101d0d7a3943c
62,14,4f2e27bee4b010c5f6982ad7
63,3,462d1873f964a520e8451fe3
64,19,4b5a3c87f964a5207fb628e3
65,0,4e319f061495f249f76dad9f
66,46,4a9880f5f964a520692c20e3
67,61,4a9f1f91f964a5209b3c20e3
68,1,52e414ea498efa7a2abe118c
69,10,4a9892a0f964a520be2c20e3
70,1,5446e39f498ee9a7ef4db6e7
71,0,5b42a9aefd9d73002be01dd1
72,3,4d87bac6e60c2c0fbbdbad3a
73,16,561eef16498e73af804a6752
74,26,5285412911d2a3e51484ff56
75,142,4a5a78f1f964a52064ba1fe3
76,78,46869096f964a52048481fe3
77,27,57dc9cf9498e9b5df967d6c2
78,8,5ae25347fd16bb002cf0c3f2
79,15,5ad7c4224febd54bc97c5c47
80,12,54283abd498e920cadc9692d
81,72,4bcf1883c564ef3ba33beff0
82,24,4a685faff964a52062ca1fe3
83,7,4d1f7a7a8629224bb46a0b87
84,4,54a888e6498ef4dcbc458f1f
85,1,56282e90498e9159a2f3c807
86,2,4e4cff86bd413c4cc66dde8e
87,142,4606214ef964a520c6441fe3
88,9,4bb9004d1261d13ae934e998
89,23,4b480401f964a520614626e3
90,13,4b7ae0bff964a52017432fe3
91,1,4e6fed0845dd04ee465b443b
92,0,5b0cbaf061f070002cdead7d
93,15,54cfdb36498e33e73a5d67b5
94,6,49f8fd61f964a520476d1fe3
95,2,4b5d2842f964a520ea5429e3
96,9,528c27fd11d279a61b01496c
97,164,4a7c3df8f964a5200bec1fe3
98,46,5361a097498e40a31baa411c
99,29,4a1099f5f964a520e5761fe3
100,2,593de1cfc0f163445a3a49b2
101,283,4a6c86e5f964a520b8d01fe3
102,79,50d5e0fce4b01e0c6330f7a1
103,69,4bf721834a67c928eb2123cf
104,115,4075e780f964a52056f21ee3
105,23,5a1cc6a0e179105d3a0670e0
106,141,4adcc0a7f964a520702f21e3
107,1,5c43a4e8e17910002c355cbe
108,44,4b93f1bdf964a520c25b34e3
109,41,4a298f27f964a520a7951fe3
110,36,4e738451ae6050af79ebf95b
111,0,5902b03f8c812a4130407b8d
112,5,4ba90fd7f964a520fd073ae3
113,106,4ffe3889e4b01d5de4d4a81a
114,93,48a1f340f964a5208e511fe3
115,671,3fd66200f964a5209beb1ee3
116,16,4c9bd1140313370443af4fd5
117,1,4d98bfa2af3d236a82c143c7
118,31,4d33b71c2c76a1434f2f7ec7
119,28,53d8078c498ec85537d3df4a
120,29,534d916e498e45d9c44e6d0a
121,18,4db9e32e0cb65435c5202dd4
122,1,4c0aaa11340720a13cda8693
123,7,4f9c021ae4b0d2a3a901a018
124,241,4b9ec1b5f964a5205dff36e3
125,2,4dd29002c65b9d071f9ee4ae
126,30,464c2546f964a520b4461fe3
127,17,5720f0d3498e1984b627e7d7
128,90,49f3261bf964a520696a1fe3
129,88,4471bf9af964a5209c331fe3
130,51,3fd66200f964a52057ee1ee3
131,51,4a12b724f964a52090771fe3
132,59,40788a80f964a5206ef21ee3
133,3,4f121fd07bebcec5ad0e87fe
134,0,5c119dac829b0c002c9799b8
135,51,4e851ede8231a2bbfef10e1f
136,49,43655e80f964a52062291fe3
137,45,49c16439f964a520a4551fe3
138,107,4e98cba6b8f77b7a98e870d6
139,186,4ab6d694f964a520407920e3
140,93,52487385498e8d3af50faac2
141,233,4cbf097828d176b0a7c6226e
142,35,51ddd36f498ea2ad70eb9129
143,70,4a065aecf964a520ef721fe3
144,6,5692966d498ea35a37251d26
145,7,4aecd620f964a520a7cb21e3
146,83,4e09bb7dfa767637fd396326
147,30,4f615c02e4b015728758e99e
148,30,58d933702f91cb026f478e38
149,95,43cd1428f964a520cf2d1fe3
150,19,5adba8f4c0cacb3e62f55a45
151,37,4a564295f964a520dfb41fe3
152,196,4a412995f964a520daa41fe3
153,15,5201821b498e3b3d43013e0d
154,79,4a074634f964a5203b731fe3
155,1,5044db54e4b0152f59242b55
156,360,49c7bfecf964a520bb571fe3
157,6,53d2d280498eb383dd42ac1a
158,49,49d10b5af964a520545b1fe3
159,33,52a93a2711d23c836a9cd926
160,152,4c5dbf402815c928c8c3b567
161,133,4c848884d8086dcbd4608a52
162,163,4aa29b03f964a520f44120e3
163,50,5250553911d262bb0c732ee8
164,108,45548f85f964a5200f3d1fe3
165,19,5674a0d0498e6700e5d5d699
166,52,422b9980f964a520d21f1fe3
167,5,5afcb616356b49002c4c1811
168,60,4ca6342076d3a093b22fff6a
169,15,4bcdd52e937ca593495fad92
170,90,4e24820a88774a43b788390d
171,22,540ce9d0498e8ef1a0ad6a85
172,30,5579bd50498e191d31ad8270
173,63,4e45bca962845e1d3c88924e
