,Venue,Venue Category,Venue ID,Venue Latitude,Venue Longitude,gender,id
1005,Chick-fil-A,40.7574254,56facbbd498e99adeb533117,-73.9819682,Fast Food Restaurant,male,522919
1006,Chick-fil-A,40.7574254,56facbbd498e99adeb533117,-73.9819682,Fast Food Restaurant,female,15490648
1007,Hard Rock Cafe,40.75703518267677,428a8580f964a52083231fe3,-73.98661120492821,Theme Restaurant,male,72655247
1008,Hard Rock Cafe,40.75703518267677,428a8580f964a52083231fe3,-73.98661120492821,Theme Restaurant,male,34745361
1009,Hard Rock Cafe,40.75703518267677,428a8580f964a52083231fe3,-73.98661120492821,Theme Restaurant,none,57414411
1010,Kosher Deluxe,40.75654725507125,4b0dc59af964a520cd4f23e3,-73.97991482494466,Burger Joint,male,1854059
1011,Kosher Deluxe,40.75654725507125,4b0dc59af964a520cd4f23e3,-73.97991482494466,Burger Joint,male,12952180
1012,Kosher Deluxe,40.75654725507125,4b0dc59af964a520cd4f23e3,-73.97991482494466,Burger Joint,male,10522439
1013,Five Guys,40.75195946397741,5ab5be3ad3cce81a8231ceb3,-73.98617515749329,Burger Joint,male,22375266
1014,Five Guys,40.75195946397741,5ab5be3ad3cce81a8231ceb3,-73.98617515749329,Burger Joint,male,7635414
1015,Five Guys,40.75195946397741,5ab5be3ad3cce81a8231ceb3,-73.98617515749329,Burger Joint,male,434131026
1016,Aureole,40.755391430155335,3fd66200f964a5206aea1ee3,-73.98541049111519,American Restaurant,male,50468419
1017,Aureole,40.755391430155335,3fd66200f964a5206aea1ee3,-73.98541049111519,American Restaurant,female,20139998
1018,Aureole,40.755391430155335,3fd66200f964a5206aea1ee3,-73.98541049111519,American Restaurant,female,364334224
1019,Vitae,40.75558839999999,4efe5a33d3e364d5fb05e280,-73.9785483,American Restaurant,male,36033639
1020,Vitae,40.75558839999999,4efe5a33d3e364d5fb05e280,-73.9785483,American Restaurant,male,26460
1021,Vitae,40.75558839999999,4efe5a33d3e364d5fb05e280,-73.9785483,American Restaurant,male,2551536
1022,HB Burger,40.756102707415664,49dceeecf964a520c05f1fe3,-73.98492981296341,Burger Joint,male,6816339
1023,HB Burger,40.756102707415664,49dceeecf964a520c05f1fe3,-73.98492981296341,Burger Joint,male,200501974
1024,HB Burger,40.756102707415664,49dceeecf964a520c05f1fe3,-73.98492981296341,Burger Joint,male,68905950
1025,Brooklyn Diner,40.75650255874428,4accaf20f964a52033c920e3,-73.98588918763393,Diner,male,421874
