,Venue,Venue Category,Venue ID,Venue Latitude,Venue Longitude,gender,id
772,Mad River Bar & Grille,40.776075279077475,3fd66200f964a52073e81ee3,-73.95598284452117,Pub,female,7835045
773,Mad River Bar & Grille,40.776075279077475,3fd66200f964a52073e81ee3,-73.95598284452117,Pub,male,1302134
774,Bareburger,40.77776399957451,51f194b7498e5ea7b6458f78,-73.94903864903888,Burger Joint,male,325140
775,Bareburger,40.77776399957451,51f194b7498e5ea7b6458f78,-73.94903864903888,Burger Joint,male,6816339
776,Bareburger,40.77776399957451,51f194b7498e5ea7b6458f78,-73.94903864903888,Burger Joint,male,4608717
777,Mansion Restaurant,40.7759621,4b0dd1d9f964a520b65023e3,-73.9467767,Diner,female,78537105
778,Mansion Restaurant,40.7759621,4b0dd1d9f964a520b65023e3,-73.9467767,Diner,male,1024096
779,Mansion Restaurant,40.7759621,4b0dd1d9f964a520b65023e3,-73.9467767,Diner,female,157095
780,The Supply House,40.7775779,5202340b498e2a22f0d56432,-73.952268,Bar,female,1377169
781,The Supply House,40.7775779,5202340b498e2a22f0d56432,-73.952268,Bar,male,1750070
782,The Supply House,40.7775779,5202340b498e2a22f0d56432,-73.952268,Bar,male,66060567
783,Cafe D'Alsace,40.77915220371585,467ffefcf964a52019481fe3,-73.95106941461562,French Restaurant,male,149587646
784,Cafe D'Alsace,40.77915220371585,467ffefcf964a52019481fe3,-73.95106941461562,French Restaurant,none,20667763
785,Cafe D'Alsace,40.77915220371585,467ffefcf964a52019481fe3,-73.95106941461562,French Restaurant,female,143101520
786,Bondurants,40.77711865075639,52bfac81498eeba382012f35,-73.95204331058143,Bar,none,57065624
787,Bondurants,40.77711865075639,52bfac81498eeba382012f35,-73.95204331058143,Bar,none,492088944
788,Bondurants,40.77711865075639,52bfac81498eeba382012f35,-73.95204331058143,Bar,none,1218258
789,Ethyl's Alcohol & Food,40.77699064154686,5734fe3f498ed7cf0dd66fef,-73.95237618153155,Bar,female,47436462
790,Ethyl's Alcohol & Food,40.77699064154686,5734fe3f498ed7cf0dd66fef,-73.95237618153155,Bar,female,1836281
791,Ethyl's Alcohol & Food,40.77699064154686,5734fe3f498ed7cf0dd66fef,-73.95237618153155,Bar,female,477301
792,Genesis Bar & Restaurant,40.77954840119824,45fbbe93f964a52061441fe3,-73.95051207314302,Sports Bar,female,1577881
793,Genesis Bar & Restaurant,40.77954840119824,45fbbe93f964a52061441fe3,-73.95051207314302,Sports Bar,female,13868859
