,Rating,Venue ID
0,5.8,4be2b79d660ec9284d04ca3b
1,6.0,4c406f2e6c1a9521a042b96a
2,8.4,55568a71498e3524400a356e
3,7.8,4b3789f3f964a520f34125e3
4,7.7,4b9c9c6af964a520b27236e3
5,8.7,59b17fe23b4e0043787e1a7c
6,5.4,4b5e451cf964a520f58629e3
7,8.3,46212cb5f964a5208d451fe3
8,7.9,4bb626e0f562ef3b2fb32f97
9,7.8,4c6d5ce5e6b7b1f7af76a98e
10,5.9,4ac18d7ff964a5207a9720e3
11,7.9,4b87d10cf964a5206ecd31e3
12,6.5,4b6f7528f964a5205ff12ce3
13,7.5,4b171e79f964a5209cc223e3
14,7.3,4baedf9ff964a520c0de3be3
15,7.3,56819cbf498e3605c5fbab32
16,7.3,4b954545f964a5203c9934e3
17,5.8,4be332072fc7d13a2281083a
18,6.1,4c8801830f3c236a2d4bef5c
19,5.7,4c0140ba94c1c9b667f8ba5f
20,5.5,4adba246f964a520962921e3
21,8.4,4d39a9bacc48224b57ae354f
22,6.2,559585a6498e27a432a3d616
23,6.1,515316ebe4b04c8e5fb65eb8
24,7.5,4fa534cee4b0fed4819dc7d4
25,7.6,57f4356d498e9b6bbc8a44f8
26,6.2,4bd7661835aad13ac3cf8ef3
27,7.5,4b674194f964a5202f442be3
28,9.1,4bf471c198ac0f47190664a8
29,4.9,4cb8d3154352a1cd5a9988f5
30,7.8,4b914c8ff964a5200eb133e3
31,6.8,4b64a9fff964a520b1c62ae3
32,7.7,4d5f3bc6196ba093879f0b56
33,7.6,4b6a0d33f964a5205dc42be3
34,7.2,4bafc2f1f964a520a31e3ce3
35,8.0,522b97a411d299ee4a3a10ca
36,6.6,50180a6be4b0d405ec6454ea
37,7.8,4c3d6ba2933b0f47326ae521
38,6.4,4a73de62f964a5208fdd1fe3
39,7.4,4a9ae4fdf964a520723320e3
40,8.3,4f2e27bee4b010c5f6982ad7
41,7.6,4b5a3c87f964a5207fb628e3
42,7.9,4a9880f5f964a520692c20e3
43,7.7,4a9f1f91f964a5209b3c20e3
44,6.2,52e414ea498efa7a2abe118c
45,6.2,4a9892a0f964a520be2c20e3
46,7.6,561eef16498e73af804a6752
47,8.0,5285412911d2a3e51484ff56
48,8.8,4a5a78f1f964a52064ba1fe3
49,8.5,46869096f964a52048481fe3
50,8.0,57dc9cf9498e9b5df967d6c2
51,8.6,5ae25347fd16bb002cf0c3f2
52,8.4,5ad7c4224febd54bc97c5c47
53,6.9,54283abd498e920cadc9692d
54,8.0,4bcf1883c564ef3ba33beff0
55,5.3,4a685faff964a52062ca1fe3
56,5.6,4d1f7a7a8629224bb46a0b87
57,5.7,54a888e6498ef4dcbc458f1f
58,6.5,56282e90498e9159a2f3c807
59,9.0,4606214ef964a520c6441fe3
60,7.2,4bb9004d1261d13ae934e998
61,6.5,4b480401f964a520614626e3
62,6.9,4b7ae0bff964a52017432fe3
63,6.7,54cfdb36498e33e73a5d67b5
64,6.5,49f8fd61f964a520476d1fe3
65,6.2,528c27fd11d279a61b01496c
66,8.9,4a7c3df8f964a5200bec1fe3
67,8.5,5361a097498e40a31baa411c
68,6.5,4a1099f5f964a520e5761fe3
69,8.4,4a6c86e5f964a520b8d01fe3
70,7.9,50d5e0fce4b01e0c6330f7a1
71,7.3,4bf721834a67c928eb2123cf
72,7.5,4075e780f964a52056f21ee3
73,7.6,5a1cc6a0e179105d3a0670e0
74,7.0,4adcc0a7f964a520702f21e3
75,6.6,4b93f1bdf964a520c25b34e3
76,6.2,4a298f27f964a520a7951fe3
77,5.9,4e738451ae6050af79ebf95b
78,6.2,5902b03f8c812a4130407b8d
79,8.1,4ffe3889e4b01d5de4d4a81a
80,8.6,48a1f340f964a5208e511fe3
81,8.8,3fd66200f964a5209beb1ee3
82,5.8,4c9bd1140313370443af4fd5
83,6.2,4d33b71c2c76a1434f2f7ec7
84,8.6,53d8078c498ec85537d3df4a
85,8.6,534d916e498e45d9c44e6d0a
86,6.3,4db9e32e0cb65435c5202dd4
87,6.3,4f9c021ae4b0d2a3a901a018
88,8.8,4b9ec1b5f964a5205dff36e3
89,7.6,464c2546f964a520b4461fe3
90,7.5,5720f0d3498e1984b627e7d7
91,8.1,49f3261bf964a520696a1fe3
92,8.4,4471bf9af964a5209c331fe3
93,6.5,3fd66200f964a52057ee1ee3
94,7.0,4a12b724f964a52090771fe3
95,7.3,40788a80f964a5206ef21ee3
96,6.7,4e851ede8231a2bbfef10e1f
97,6.6,43655e80f964a52062291fe3
98,6.2,49c16439f964a520a4551fe3
99,8.2,4e98cba6b8f77b7a98e870d6
100,8.6,4ab6d694f964a520407920e3
101,8.6,52487385498e8d3af50faac2
102,9.2,4cbf097828d176b0a7c6226e
103,8.1,51ddd36f498ea2ad70eb9129
104,7.3,4a065aecf964a520ef721fe3
105,7.4,5692966d498ea35a37251d26
106,5.2,4aecd620f964a520a7cb21e3
107,8.2,4e09bb7dfa767637fd396326
108,8.4,4f615c02e4b015728758e99e
109,9.0,58d933702f91cb026f478e38
110,7.9,43cd1428f964a520cf2d1fe3
111,6.5,5adba8f4c0cacb3e62f55a45
112,8.0,4a564295f964a520dfb41fe3
113,8.8,4a412995f964a520daa41fe3
114,8.7,5201821b498e3b3d43013e0d
115,8.6,4a074634f964a5203b731fe3
116,6.3,5044db54e4b0152f59242b55
117,8.9,49c7bfecf964a520bb571fe3
118,8.2,53d2d280498eb383dd42ac1a
119,8.0,49d10b5af964a520545b1fe3
120,7.2,52a93a2711d23c836a9cd926
121,9.3,4c5dbf402815c928c8c3b567
122,8.6,4c848884d8086dcbd4608a52
123,8.5,4aa29b03f964a520f44120e3
124,8.3,5250553911d262bb0c732ee8
125,6.4,45548f85f964a5200f3d1fe3
126,7.0,5674a0d0498e6700e5d5d699
127,8.1,422b9980f964a520d21f1fe3
128,7.0,5afcb616356b49002c4c1811
129,7.5,4ca6342076d3a093b22fff6a
130,5.9,4bcdd52e937ca593495fad92
131,8.6,4e24820a88774a43b788390d
132,7.8,540ce9d0498e8ef1a0ad6a85
133,8.2,5579bd50498e191d31ad8270
134,8.0,4e45bca962845e1d3c88924e
135,7.8,49c86272f964a52019581fe3
136,7.0,59ce97225315937fce26cef1
137,6.0,4bd4dcf5cfa7b713ce0a25da
138,7.2,3fd66200f964a520fce81ee3
139,6.4,5756a622498e08c7751959dd
